Title,Published_date,Views,Likes,Comments
Machine Learning & Data Science Project - 5 : Model Building (Real Estate Price Prediction Project),2020-01-01,62652,770,169
Machine Learning & Data Science Project - 3 : Feature Engineering (Real Estate Price Prediction),2020-01-01,66166,721,78
Machine Learning & Data Science Project - 2 : Data Cleaning (Real Estate Price Prediction Project),2020-01-01,128004,1628,199
Machine Learning & Data Science Project - 1 : Introduction (Real Estate Price Prediction Project),2020-01-01,151238,1852,69
How to become a data scientist for free? | Step by step approach to become data scientist,2019-12-15,47040,2138,228
What is Data Science? | Free Data Science Course | Data Science for Beginners | codebasics,2019-12-10,182587,2576,222
Machine Learning Tutorial Python - 16: Hyper parameter Tuning (GridSearchCV),2019-11-23,124479,3223,270
Machine Learning Tutorial Python - 15:  Naive Bayes Classifier Algorithm Part 2,2019-11-17,45935,1199,232
Machine Learning Tutorial Python - 14: Naive Bayes Classifier Algorithm Part 1,2019-11-16,89798,1376,111
"3. Deep Learning Tutorial (Tensorflow2.0, Keras & Python) - Movie Review Classification",2019-10-13,21383,377,139
"Channel Update: Hindi Channel, Health, Deep Learning",2019-10-06,3765,100,52
50k Subscribers and Channel Update!,2019-06-22,8012,105,129
"Deep Learning Tutorial With Python, Tensorflow & Keras - Neural Network For Image Classification",2019-05-27,39358,572,206
"Deep Learning Tutorial Python, Tensorflow And Keras: Introduction and Installation",2019-05-21,24511,406,57
Drinking Raw Goat Milk In India,2019-05-10,8707,126,63
9. For loop [Python 3 Programming Tutorials],2019-05-08,70980,827,49
21. Generators [Python 3 Programming Tutorials],2019-05-08,13304,177,6
1. Install python on windows [Python 3 Programming Tutorials],2019-05-08,99005,828,42
12.1 - Install Python Module (using pip) [Python 3 Programming Tutorials],2019-05-08,61472,456,39
13. Working With JSON [Python 3 Programming Tutorials],2019-05-08,49047,639,27
24. Command line argument processing using argparse [Python 3 Programming Tutorials],2019-05-08,19782,334,19
10. Functions [Python 3 Programming Tutorials],2019-05-08,60247,802,45
8. If Statement [Python 3 Programming Tutorials],2019-05-08,62469,673,65
5. Lists [Python 3 Programming Tutorials],2019-05-08,74626,906,43
7. Debug Python code using PyCharm [Python 3 Programming Tutorials],2019-05-08,63356,653,38
"14. if __name__ == ""__main__""",2019-05-08,43739,546,32
16. Class and Objects [Python 3 Programming Tutorials],2019-05-08,43536,693,47
2. Variables in python [Python 3 Programming Tutorials],2019-05-08,113563,972,33
12. Modules [Python 3 Programming Tutorials],2019-05-08,46971,609,20
25. Decorators [Python 3 Programming Tutorials],2019-05-08,11109,211,31
11. Dictionaries and Tuples [Python 3 Programming Tutorials],2019-05-08,45230,517,60
23. Sets and Frozen Sets [Python 3 Programming Tutorials],2019-05-08,10103,150,9
6. Install PyCharm on Windows [Python 3 Programming Tutorials],2019-05-08,58859,475,25
19. Raise Exception And Finally [Python 3 Programming Tutorials],2019-05-08,14062,183,7
17. Inheritance [Python 3 Programming Tutorials],2019-05-08,21413,347,26
4. Strings [Python 3 Programming Tutorials],2019-05-08,77773,819,51
20. Iterators [Python 3 Programming Tutorials],2019-05-08,15320,195,5
22. List Set Dict Comprehensions [Python 3 Programming Tutorials],2019-05-08,9874,157,4
15. Exception Handling [Python 3 Programming Tutorials],2019-05-08,33766,459,22
3. Numbers [Python 3 Programming Tutorials],2019-05-08,87395,957,52
18. Multiple Inheritance [Python 3 Programming Tutorials],2019-05-08,12855,169,15
Machine Learning Tutorial Python - 13:  K Means Clustering Algorithm,2019-02-04,284775,5995,472
Machine Learning Tutorial Python 12 - K Fold Cross Validation,2019-01-26,185493,4288,468
Machine Learning Tutorial Python - 11  Random Forest,2018-12-23,179617,2344,286
Machine Learning Tutorial Python - 10  Support Vector Machine (SVM),2018-12-19,203333,2719,375
Machine Learning Tutorial Python - 9  Decision Tree,2018-11-17,250519,3490,734
Machine Learning Tutorial Python - 8  Logistic Regression (Multiclass Classification),2018-09-21,136495,1849,320
Machine Learning Tutorial Python - 8:  Logistic Regression (Binary Classification),2018-09-07,273662,4147,474
My Vegetable Garden,2018-09-02,3505,149,34
Machine Learning Tutorial Python - 7: Training and Testing Data,2018-08-09,252917,3980,299
Machine Learning Tutorial Python - 6: Dummy Variables & One Hot Encoding,2018-08-06,190279,3125,506
Machine Learning Tutorial Python - 5: Save Model Using Joblib And Pickle,2018-07-29,135712,1977,128
Machine Learning Tutorial Python - 4: Gradient Descent and Cost Function,2018-07-22,338143,5171,566
Machine Learning Tutorial Python - 3: Linear Regression Multiple Variables,2018-07-04,305872,4214,547
Machine Learning Tutorial Python - 2: Linear Regression Single Variable,2018-07-01,461734,6384,982
Machine Learning Tutorial Python -1: What is Machine Learning?,2018-06-30,542266,6651,180
"Python Pandas Tutorial 14: Read Write Data From Database (read_sql, to_sql)",2018-05-05,133264,1626,142
Matplotlib Tutorial 7 - Save Chart To a File Using savefig,2018-01-01,34860,461,58
Matplotlib Tutorial 6 - Pie Chart,2017-12-10,53434,681,34
Matplotlib Tutorial 5 - Histograms,2017-12-08,78488,939,54
Matplotlib Tutorial 4 - Bar Chart,2017-12-06,94239,1070,76
"Matplotlib Tutorial 3 - Axes labels, Legend, Grid",2017-12-03,70891,766,50
Matplotlib Tutorial 2 - format strings in plot function,2017-12-03,44539,542,32
Matplotlib Tutorial 1 - Introduction and Installation,2017-12-02,91797,863,47
numpy tutorial: iterate numpy array using nditer | numpy nditer,2017-12-02,50783,842,65
Pandas Time Series Analysis 6: Shifting and Lagging,2017-09-03,45310,583,49
Pandas Time Series Analysis 6: Timezone Handling,2017-08-27,23885,253,15
Pandas Time Series Analysis 5: Period and PeriodIndex,2017-08-14,35808,402,40
Pandas Time Series Analysis 4: to_datetime,2017-08-01,41286,444,29
Pandas Time Series Analysis 3: Holidays,2017-07-29,39410,524,53
Pandas Time Series Analysis Part 2: date_range,2017-07-22,61326,771,54
Pandas Time Series Analysis Part 1: DatetimeIndex and Resample,2017-07-15,143415,2028,149
Python Pandas Tutorial 13. Crosstab,2017-07-06,69977,1284,52
Python Pandas Tutorial 12. Stack Unstack,2017-07-02,60732,1062,47
5000 subscribers: Recap on channel history and future tutorials,2017-06-27,1423,94,27
Python Pandas Tutorial 11. Reshape dataframe using melt,2017-06-24,76700,1056,55
Python Pandas Tutorial 10. Pivot table,2017-06-04,161914,2277,121
Python Pandas Tutorial 9. Merge Dataframes,2017-05-27,154244,2442,166
Why Should You Learn Python? | Complete python3 tutorials for beginners,2017-05-23,235479,4687,117
Python Pandas Tutorial 8. Concat Dataframes,2017-05-14,120145,1768,76
Python Pandas Tutorial 7. Group By (Split Apply Combine),2017-03-26,216166,3507,240
Python Pandas Tutorial 6. Handle Missing Data: replace function,2017-02-26,125477,2550,137
"Python Pandas Tutorial 5: Handle Missing Data: fillna, dropna, interpolate",2017-02-17,247764,4636,252
Python Pandas Tutorial 4: Read Write Excel CSV File,2017-02-04,494854,6251,448
Python Pandas Tutorial 3: Different Ways Of Creating DataFrame,2017-01-31,199484,2986,77
Python Pandas Tutorial 2: Dataframe Basics,2017-01-28,504548,7359,393
Python Pandas Tutorial 1. What is Pandas python? Introduction and Installation,2017-01-21,740875,8224,335
Jupyter Notebook Tutorial / Ipython Notebook Tutorial,2017-01-15,81216,1236,127
What is Anaconda? Install Anaconda On Windows.,2017-01-14,129645,1222,63
What is Jupyter Notebook? | Jupyter Notebook Tutorial in Python,2017-01-09,284475,3479,118
"numpy tutorial - slicing/stacking arrays, indexing with boolean arrays",2016-12-28,103325,2227,82
numpy tutorial - basic array operations,2016-12-26,160511,1893,80
numpy tutorial - introduction,2016-12-25,195517,1523,88
Python unit testing - pytest parameters,2016-12-23,29849,320,30
Python Decorators Tutorial,2016-12-19,84213,1708,140
Python unit testing - pytest fixtures,2016-12-17,69764,817,48
What is memory leak?,2016-12-13,45054,689,39
Python unit testing - skip/selectively run tests in pytest,2016-12-10,34769,299,24
Python unit testing - pytest introduction,2016-12-04,148401,879,67
What is code?,2016-12-03,26419,339,18
Python Tutorial - 31. Multiprocessing Pool (Map Reduce),2016-10-15,71792,1299,137
Python Tutorial - 30. Multiprocessing Lock,2016-09-29,46539,666,49
Python Tutorial - 29. Sharing Data Between Processes Using Queue,2016-09-24,66423,859,61
Git Tutorial 8 - .gitignore file,2016-09-18,153630,1637,100
Python Tutorial - 28. Sharing Data Between Processes Using Array and Value,2016-09-17,63074,707,47
Python Tutorial - 27. Multiprocessing Introduction,2016-09-06,123895,1343,88
Difference between Multiprocessing and Multithreading,2016-09-05,181550,1725,69
Git Tutorial 9: Diff and Merge using meld,2016-08-21,52229,431,39
Git Tutorial 7: What is HEAD?,2016-08-20,48210,634,52
Git Github Tutorial 10: What is Pull Request?,2016-08-13,179067,2622,198
"Git Tutorial 6: Branches (Create, Merge, Delete a branch)",2016-08-10,189690,2129,157
Git Tutorial 5: Undoing/Reverting/Resetting code changes,2016-08-06,178737,1823,145
"Git Tutorial 4: Basic Commands: add, commit, push",2016-07-31,303785,3213,173
Git Tutorial 2 : What is Github? | github tutorial,2016-07-24,62404,539,25
Git Tutorial 1: What is git / What is version control system?,2016-07-23,93050,1052,41
Git Tutorial 3:  How To Install Git,2016-07-23,34125,205,13
Python Tutorial - 26. Multithreading - Introduction,2016-06-19,197779,2701,203
Debugging Tips - Watches and Call Stack,2016-06-02,5916,91,7
Debugging Tips - Conditional Breakpoint,2016-05-29,7337,129,6
Debugging Tips - What is bug and debugging?,2016-05-28,145006,1537,51
Python Tutorial - 25. Command line argument processing using argparse,2016-05-14,75878,883,92
Python Tutorial - 24. Sets and Frozen Sets,2016-05-08,17414,235,13
Python Tutorial - 23. List Set Dict Comprehensions,2016-05-02,15624,193,15
Python Tutorial - 22. Generators,2016-04-30,40101,409,30
Python Tutorial - 21. Iterators,2016-04-23,48373,416,39
Python Tutorial - 20. Raise Exception And Finally,2016-04-19,33245,214,22
Python Tutorial  - 19. Multiple Inheritance,2016-04-09,25156,215,15
Julia Tutorial - 10. Exception Handling,2016-04-03,3745,36,9
Julia Tutorial - 9. Tasks (a.k.a. Generators or Coroutines),2016-04-03,5704,48,8
Python Tutorial - 12.1 - Install Python Module (using pip),2016-04-01,64787,561,49
Julia Tutorial - 8. begin and (;) Compound Expressions,2016-03-28,3993,22,0
Python Tutorial  - 18. Inheritance,2016-03-27,42698,433,54
Julia Tutorial - 7. For While Loop,2016-03-22,6609,42,3
Julia Tutorial - 6. If Statement and Ternary Operator,2016-03-20,4743,29,0
Julia Tutorial - 5. Functions,2016-03-20,8581,67,8
Python Tutorial -  17. Class and Objects,2016-03-13,132753,1641,129
Julia Tutorial - 4. Strings,2016-03-02,5903,46,7
Julia Tutorial - 3. Complex and Rational Numbers,2016-02-28,8066,63,4
Python Tutorial  - 16. Exception Handling,2016-02-27,37080,305,24
Julia Tutorial - Why Should I Learn Julia Programming Language,2016-02-24,107866,868,62
"Python Tutorial - 15. if __name__ == ""__main__""",2016-02-20,70877,772,21
Julia Tutorial - 2. Numbers,2016-02-18,10646,73,4
Julia Tutorial - 1. Variables,2016-02-15,18063,102,9
Python Tutorial - 14. Working With JSON,2016-02-14,110456,1115,91
How to install Julia on Windows,2016-02-13,26085,148,11
Python Tutorial - 13. Reading/Writing Files,2016-02-07,118681,1335,106
Python Tutorial - 12. Modules,2016-01-31,40123,349,22
Python Tutorial - 11. Dictionaries and Tuples,2016-01-17,34799,348,36
Python Tutorial -  10. Functions,2016-01-10,42419,444,81
Python Tutorial - 9. For loop,2016-01-02,24578,211,54
Python Tutorial -  8. If Statement,2015-12-26,22093,171,22
PyCharm Tutorial - 7. Debug python code using PyCharm,2015-12-26,78893,599,62
Python Tutorial - 6. Install PyCharm on Windows,2015-12-24,19574,145,24
Python Tutorial - 5. Lists,2015-12-20,29259,280,52
Python Tutorial - 4. Strings,2015-12-20,27504,306,27
Python Tutorial - 3. Numbers,2015-12-20,30802,308,30
Python Tutorial - 2. Variables,2015-12-20,40528,315,24
Python Tutorial - 1. Install python on windows,2015-12-20,44990,335,12
