Title,Published_date,Views,Likes
Drawdata-Python Library To Draw Dataset In Jupyter Notebook,26-04-2021,4581,222
Your GitHub story in 3D- View a 3D Model of your GitHub Contribution graph.,26-04-2021,4503,153
Sunday Live Q&A Ask Anything Related Data Science,25-04-2021,4480,358
Autoviz-Automatically Visualize Any Dataset With Single Line Of Code,25-04-2021,22486,885
Who Are Data Scientists?,24-04-2021,11130,429
AutoScraper and Flask: Create an API From Amazon Website in Less Than 10 Minutes,24-04-2021,5991,218
Automating WebScraping Amazon Ecommerce Website Using AutoScrapper,23-04-2021,37306,908
Deep Learning Interview Series #2- Asked In interview,23-04-2021,5291,161
Automating Web Scrapping Using AutoScraper Library,22-04-2021,13186,544
Discussing All The Types Of Feature Transformation In Machine Learning,21-04-2021,25330,755
All Automated EDA Libraries All At One Place,20-04-2021,12141,511
Machine Learning Interview Series#1-Asked in Interview,20-04-2021,10649,233
Deployment Of ML Models Using PyWebIO And Flask In Heroku,19-04-2021,5316,174
Numba Library- Let's Make Python Faster,19-04-2021,7325,259
Text Generation with Transformers (GPT-2) In 10 Lines Of Code,18-04-2021,10081,332
Introduction To Machine Learning And Deep Learning For Starters,18-04-2021,38801,849
TFOD 2.0 Custom Object Detection Step By Step Tutorial,17-04-2021,59876,1326
Deep Learning Interview Series #1- Asked In Interview,17-04-2021,7070,182
Friday Live Q&A Ask Anything Related Data Science,16-04-2021,4098,233
Comparing Transfer Learning Models Using Gradio,16-04-2021,3287,126
Gradio Library-Interfaces for your Machine Learning Models,15-04-2021,9688,364
How To Automate NLP Tasks Using EvalML Library,15-04-2021,5572,223
Lazy Predict Python- Understanding Which Models Works Well Without Any Tuning,14-04-2021,6821,342
"EvalML AutoML Library To Automate Feature Engineering, Feature Selection,Model Creation And Tuning",14-04-2021,9784,398
Joining Bonus- Whether We should Take Joining Bonus? General Q&A,14-04-2021,15633,363
Confidence Intervals In Statistics- Part 1,13-04-2021,39432,867
Best Freelancing Work- Earn By Answering Questions,13-04-2021,12145,502
"Difference Between fit(), transform(), fit_transform() and predict() methods in Scikit-Learn",12-04-2021,27299,1239
What Is Probation Period?General Q&A,11-04-2021,17427,452
The Art Of Writing Resume For Data Science- Must For EveryOne,10-04-2021,15684,545
Amazing Initiative For Kids- Ineuron K-12 Youtube Channel- Free Content #shorts,09-04-2021,7063,179
How To Handle 90 Days Notice Period With HR,09-04-2021,89300,2939
Stats Interview Series #2-Asked In Interview,09-04-2021,16169,388
"Statistics-Left Skewed And Right Skewed Distribution And Relation With Mean, Median And Mode",08-04-2021,39717,1202
Stats Interview Series #1- Asked In Interview,08-04-2021,19798,513
Interview Question -Risks In Data Science Projects,07-04-2021,5645,140
Shapash- Python Library To Make Machine Learning Interpretable,06-04-2021,13806,512
Interesting Fact About Data #shorts,06-04-2021,10441,387
Deployment Of ML Models Using PyWebIO And Flask,05-04-2021,8409,267
What Is P Value In Statistics In Simple Language?,05-04-2021,80647,1977
Creating BMI Calculator Web APP Using Python And PyWebIO,04-04-2021,7259,296
You Don't Require A Master's Or Phd To Become Citizen Data Scientist #shorts,04-04-2021,12635,433
PyWebIO- Creating WebAPP Using Python Without Using HTML And JS,03-04-2021,12912,627
#shorts Believe You Can You Are Halfway Done-Motivation,03-04-2021,8259,404
Part 4-Testing ANN Model-Audio Classification Project Using Deep Learning,02-04-2021,10122,203
#shorts Three Most Important Points To Remember To Grow You In Your Life,01-04-2021,11938,666
Part 3-Model Creation-Audio Classification Project Using Deep Learning,01-04-2021,11190,236
Part 2-Data Preprocessing-Audio Classification Project Using Deep Learning,31-03-2021,17527,360
Part 1-EDA-Audio Classification Project Using Deep Learning,31-03-2021,41823,1046
March 30th- Live Virtual Mock Interview From Mechanical To Data Scientist,30-03-2021,12034,270
March 29- Live Virtual Mock Interview For Fresher For Data Science Role-iNeuron Student,29-03-2021,13681,508
Follow These Playlist Before Interviews- Guide to Crack Data Science Interviews,28-03-2021,12040,437
Rainfall Prediction- Converting A Kaggle Project to End To End Machine Learning Project,27-03-2021,28270,897
Friday Live Q&A Ask Anything RelatedData Science,26-03-2021,4636,227
"Colab Pro Now Available In India, Brazil, France, Thailand,Japan,UK- BOON FOR Data Science Aspirants",26-03-2021,11350,334
Successful Career Transition Story From Fresher College Student To Data Science-Sameer Singh,26-03-2021,9326,255
Amazing Initiative For School Kids By iNeuron,25-03-2021,3362,144
"Texthero-Text Preprocessing, Representation And Visualization From Zero to Hero.",25-03-2021,6878,319
1 Day Off From Work After 2 months- Start Up Stories#shorts,24-03-2021,48257,1602
Lux - Python Library for Intelligent Visual Discovery,23-03-2021,12740,520
Devops Vs MLOPS- Understand The Differences And Why IT is Important,21-03-2021,28607,741
Day 4- MLOPS Continuous Integration And Model Tracking Using MLFlow- Machine Learning,19-03-2021,8406,202
Day 3- MLOPS End To End Implementation With Deployment- Machine Learning,18-03-2021,10085,227
Day 2- MLOPS End To End Implementation From Basics- Machine Learning,17-03-2021,14441,396
Day 1- MLOPS End To End Implementation- Machine Learning,16-03-2021,32526,602
14+ ML And DL End To End Projects From My Channel,15-03-2021,17525,824
How To Revise Data Science  Concepts And Algorithms Efficiently Before Interviews-Most Important🔥🔥🔥🔥,14-03-2021,16127,652
What is the Interviewer Looking For In A Data Science Interview?,13-03-2021,13600,613
MLOps Live Community Session Announcement,12-03-2021,10059,305
Waste Classification Machine Learning Classification Project-Waste Recycling,11-03-2021,8911,258
SVM Kernal- Polynomial And RBF Implementation Using Sklearn- Machine Learning,10-03-2021,21675,637
SVM Kernels In-depth Intuition- Polynomial Kernels Part 3 | Machine Learning Data Science,10-03-2021,34371,973
Live AWS For Data Science - Deploying Machine Learning Application In EC2 Instance,04-03-2021,20793,847
Amazing Data Science End To End Project From Starters In ML and Deep Learning- Agriculture Domain,03-03-2021,30479,1060
Face Recognition Attendance Based Project In Machine Learning,02-03-2021,78655,1940
Monday Night Live Q&A - Ask Anything Related  To Data Science,01-03-2021,6668,211
Step 6- TensorFlow 2 Detection Model Zoo- Object Detection,01-03-2021,7566,122
Introduction To MLflow-An Open Source Platform for the Machine Learning Lifecycle,01-03-2021,28794,699
Arpit Gupta's Successful Career Transition To Data Science After Many Rejection-Finally 4 Job Offers,27-02-2021,8616,158
"Affordable Business Analytics Master,DSA And Competitive Programming And Mern Stack- Join The Demo",27-02-2021,2842,95
"Secure Hash Algorithms Using Python- SHA256,SHA384,SHA224,SHA512,SHA1- Hashing In BlockChain",26-02-2021,5902,155
"Day 2-9 Hours Live Community Session- Power BI Usecases And Interview Prep, Competitive Programming",26-02-2021,9073,256
"9 Hours Live Community Session- Interview Questions On Sql, Power BI End to End Project,Mern Stack",25-02-2021,23291,672
"Live Community Session On 25th And 26th Feb From 1pm- Projects on Power BI, Tableau, Mern Stack",25-02-2021,4574,148
A Brief Intro About My Channel If You Are New- Data Science #shorts,25-02-2021,18649,594
Successful Transition From Mechanical Engineering To Data Science In Ireland Dublin- Ft:iNeuron,24-02-2021,21961,380
Logging Implementation In Python,23-02-2021,13213,294
Live Discussion- Transition From Web Developer To Data Scientist In Sweden- Ft: Ineuron,23-02-2021,7927,228
Inderpreet Successful Career Transition From A Freshers To Data Science With 5 Job Offers,20-02-2021,11461,267
PIP Freeze- Creating Packages(Requirements.txt) For The Application,19-02-2021,10429,213
Sumit Successful Career Transition From BCA To Data Science- Ft: Ineuron,18-02-2021,4501,107
Successful Transition Story From Non Tech To Data Science Director With 20+ Year Experience In UK,18-02-2021,6079,199
Successful Career Transition Of Kartik From Civil Engineering To Data Science With Career Gap,18-02-2021,19647,351
PerceptiLabs-The Best Machine Learning Visual Modeling Tool-Train Deep Learning Neural Network,18-02-2021,19917,611
Session On Different Types Of Loss Function In Deep Learning,16-02-2021,32156,638
Sunday Late Night Live Q&A - Ask Anything Related  To Data Science,14-02-2021,7314,240
Pdf Password Protection Using Python,13-02-2021,6181,279
10+ year experience Raghu Who Made Transition Into Data Science As A Director- Ft: Ineuron,12-02-2021,11737,204
Feb12- Live Virtual Mock Interview To Real Interview For Data Scientist- Hired By iNeuron-Commerce,12-02-2021,124454,4375
"Recent Jobs On Data Science,Data Analyst And Data Engineers In Google- Apply For It",12-02-2021,10072,240
Step 5-Final TFOD Set Up With Tensorflow 2.0 In Windows- COCO API installation Object Detection API,11-02-2021,9113,132
"Upcoming Community Sessions Announcements For Everyone- Data Science, Machine Learning,Feat: Ineuron",10-02-2021,5462,390
Live 15 hour Session In Implementing End To End Data Science Projects- Community Event,09-02-2021,108177,2937
15 hours Live Session On Data Science Projects- Community Event- Feat Ineuron Sudhanshu And Team,08-02-2021,14743,992
Feb 8- Live Virtual Mock Interview For Data Science Role,08-02-2021,14640,367
Step 3-TFOD Set Up With Tensorflow 2.0 In Windows-Installing Tensorflow Object Detection API,07-02-2021,6846,137
Step 4-TFOD Set Up With Tensorflow 2.0 In Windows-Protobuf  Installation And Compilation,07-02-2021,7103,140
Python Zip Function- Easy Parallel Iteration for Multiple Iterators,07-02-2021,3843,120
Placement Seasons-Its Ok If You Are Not From Tier 1 College-Strategy To Prepare For Placements,07-02-2021,3727,221
Step 2-TFOD Set Up With Tensorflow 2.0 In Windows-Installing Cuda Toolkit And CuDnn,06-02-2021,10376,166
Step 1-Tensorflow Object Detection Set Up With Tensorflow 2.0 In Windows-Creating The Environment,06-02-2021,23441,407
Feb 4th Live Virtual Interview Of Freshers For Data Science Role,04-02-2021,18587,652
3000+ Research Datasets For Machine Learning Researchers By Papers With Code,04-02-2021,14775,596
Feb 3- Live Virtual Mock Interview Of Freshers For Data Science Role,03-02-2021,29545,684
Successful Career Transition From Fresher To Data Science With 4 years Gap- ft Saket & iNeuron,03-02-2021,12403,405
Feb 2 - Live Virtual Mock Interview Of Fresher For Data Science Role,02-02-2021,30237,652
Vulture Library- How To Find Unused And Dead Code In Python Projects,01-02-2021,3735,125
Live Virtual Mock Interview For Data Science Role,01-02-2021,25006,693
Live Virtual Mock Interview On Data Science In My Channel,31-01-2021,9119,229
Problem 8 Solution-Anagram Check Analysis Using Python - Competitive Programming,31-01-2021,4597,97
Object Localization Vs Object Detection Deep Learning,31-01-2021,10730,321
Sharing 15+ Interview Experience For Data Science-Msc In Stats IIt Bombay-Success After 15 Failures,30-01-2021,10176,327
Problem 8-Anagram Check Analysis Using Python - Competitive Programming,30-01-2021,3040,81
Advance Python Series-Asynchronous Execution(Parallel Execution) With Thread Using Python,30-01-2021,3881,112
Sharing Experience Of Doing MS In Big Data And Analytics  in Germany - Ft Akshay,29-01-2021,13995,511
Curated List Of All  500+ Awesome  Python Frameworks Libraries And Software In One Place,29-01-2021,3903,226
How To Implement Image Classification Using SVM In Convolution Neural Network,28-01-2021,21155,506
Tutorial 5- Feature Selection-Perform Feature Selection Using Chi2 Statistical Analysis,28-01-2021,15443,352
Tutorial 4- Feature Selection-Perform Feature Selection Using Information Gain For Regression In ML,27-01-2021,13578,296
Python Eval Function- Evaluating Python Expressions Dynamically,27-01-2021,5590,138
Tutorial 3- Feature Selection-How To Select Features Using Information Gain For Classification In ML,26-01-2021,25106,513
Non Technical/Non Programmer  Follow This Approach to Become Data Scientist,24-01-2021,13228,677
Advance Python Series- Multiple Inheritance In Python,24-01-2021,6495,164
Hardwork Is Directly Proportional To Luck Factor- Saturday Motivation,23-01-2021,4587,292
"Cloud Computing AWS -Upload,Read And Write And Download Files In And From S3 bucket Using Python",23-01-2021,8904,236
TextBlob Library In Python For Natural Language Processing,22-01-2021,9197,226
Python Advance Series- Static Methods Indepth Understanding And Implementation In Python,21-01-2021,6604,185
How He Made A Successful Transition From College Student To Data Science In E&Y- With Self Study,21-01-2021,22426,806
Important Guidelines For Placements For Fresher’s And College Students,20-01-2021,6455,467
First Live Q&A Of 2021 - Ask Anything Related  To Data Science,19-01-2021,6606,364
Phd Vs Masters Vs BE Vs Certification- Which Degree Is Better For Data Science or AI,19-01-2021,10054,442
Class Variables And Class Methods In Python,19-01-2021,9284,254
How To Speed Up Pandas By 4X Times- Modin Pandas Library,18-01-2021,13636,478
Shallow Copy Vs Deep Copy in Python,18-01-2021,23079,819
60 Python Projects With Source Code- Solved And Explained,18-01-2021,141193,4229
Python Series- is Vs == Indepth Explanation- Boolean Evaluation,17-01-2021,6014,233
Why Is Bitcoin Price Rising? Announcing BlockChain Playlist Soon,17-01-2021,4789,187
Tutorial 1- Cloud Computing-AWS-Introduction To S3(Simple Storage Services),16-01-2021,16138,462
Advance Python-Decorators Indepth Implementation,16-01-2021,13365,445
Advanced Python Series - Iterators Vs Generators,15-01-2021,15874,470
"Papers With Code: The Latest in Machine Learning, Deep Learning And AI",15-01-2021,23497,837
Which Is Best Programming Language For Data Structures And Algorithms?😜😜😜,14-01-2021,25612,1080
Stopping Blaming Anyone Or Your College For Not Getting Jobs- Motivation,13-01-2021,5231,411
Advanced Python Series- Assert Statement In Python,13-01-2021,10467,310
Whatsapp Privacy Policy-How Facebook Are Planning For Monetization- Analytics Usecase Discussion,12-01-2021,6975,316
Some Important Announcements Regarding Data Science Jobs- Direct Referrals From My Side,11-01-2021,27135,1462
"How Do I Manage My Time-Full time Job, Teaching And Family Time-Time Management-300K Special Video",11-01-2021,10325,640
Ineuron's New Portal For Community Free And Affordable Courses,09-01-2021,15083,820
Past 10 Years Of AI 2010 - 2020-What All Innovation And Research We Saw?,09-01-2021,2451,121
Advance Python Series-Magic Methods In Classes,09-01-2021,11799,353
What Is A Citizen Data Scientist?,08-01-2021,8455,446
Do Not Quit Your Job Until? Sharing My Experience,07-01-2021,23593,828
Advance Python Series- Inheritance In Python,07-01-2021,20422,559
Advance Python Series- Public Private And Protected Access Modifiers,06-01-2021,21318,661
Successful  Career  Transition  Non Programmer To Machine Learning Engineer In  ZYCLYX Consulting,06-01-2021,12931,502
Live Virtual Mock Interview For Data Science For Fresher Msc Graduate,05-01-2021,26100,755
Advanced Python Series- Custom Exception Handling In Python,05-01-2021,18473,506
Advanced Python- Exception Handling Detailed Explanation In Python,05-01-2021,28208,776
Problem 7 Solution- Find The Time Complexity,04-01-2021,9202,273
Google Colab Pro Vs Colab Free- Benefits Of Using Colab Pro- How To Access From India,04-01-2021,16699,388
"Top 6 Programming Languages For Data Science,Machine Learning And Deep Learning In 2021",04-01-2021,4470,241
Tutorial 7-Competitive Programming-Find The Time Complexity Of This Problem,03-01-2021,8335,261
500+ Machine Learning And Deep Learning Projects All At One Place,03-01-2021,96879,4950
Is Data Science A Hype Or Overrated? Sharing A Conversation With An Old Friend,02-01-2021,27377,996
Tutorial 6-Competitive Programming-New Problem & Visualization Tool To Visualize Python Programming,02-01-2021,11562,413
Lets Start Competitive Programming Using Python- First Problem Statement,01-01-2021,39916,1393
Target Learning Data Science Within 4-5 Months From My Channel- Follow These Playlists In Order,01-01-2021,39355,2267
"Special Message From Krish, Sudhanshu And Ineuron Data Science Team",31-12-2020,13036,622
6 Certifications In Data Science But No Jobs- Sharing A True Story-Focus More On Data Science Jobs,31-12-2020,321358,9998
Negotiating Salaries With HR for Any Job Is An Art. Learn IT Before It's Late 😭😭😭😭,30-12-2020,395843,10616
"Data Science Jobs Hiring For Freshers And Experienced-TraceBloc,IBM,Accenture,Apptio Hiring 2020",30-12-2020,6861,231
"Data Science Interns Hiring- YouBotics,IBM,Asmadiya Technologies,Tarah AI Hiring ML Paid Interns",29-12-2020,8799,355
Last Live Q&A Of 2020- Ask Anything Related  To Data Science,29-12-2020,5457,284
Faking Data Science Experience- Is It Good Or Bad? Important For EveryOne,29-12-2020,24467,772
EY Scholarship Program For College Students- 1 Lakh Prize Money With Internship-Last Date 31st Dec,29-12-2020,9549,390
"Data Science Jobs Hiring For Freshers- Confidential, Siemens,Bayer,Avatar.me And Milk Mantra Hiring",28-12-2020,26972,1053
The Most Challenging Thing Working As Data Scientist Or In A Data Science Team-Sharing My Experience,28-12-2020,10549,379
Various Components Of CTC Salaries. Important To Understand Your In Hand Salary,27-12-2020,9188,324
EY To Hire 9000 AI/ML Professionals IN 2021- Hiring And Interview Process Of EY An EX Employee Of EY,26-12-2020,61594,1984
Data Scientist- Working In Start Ups Or MNC. Which Is Better? Sharing My Experience,25-12-2020,16572,683
4 Important Things I Have Learnt From 2020. It May Really Help You Out.,24-12-2020,4511,354
CTC(Cost to Company ) Vs In Hand Salary. Why It is Important To Understand The CTC Components,23-12-2020,29646,1346
Should I Leave My Current Job To Prepare For Data Science Or Any Competitive Jobs?,23-12-2020,46081,820
Best Programming Jobs For IT In 2021,22-12-2020,12697,652
2020 Is Almost Over-Upcoming Plans In 2021- Advance AI& ML Concepts and Competitive Programming,21-12-2020,9094,584
What Should Be Your First Data Science Projects In Your Resume?,20-12-2020,19140,765
Complete RoadMap For Preparing Competitive Programming- Part 1,18-12-2020,7590,330
What Is Full Stack Data Scientist? Why Many Analytics Job Profiles Wants These Requirements?,18-12-2020,23779,924
How To Identify Companies To Apply For Data Science Jobs,16-12-2020,9631,342
Data Science Jobs In LinkedIn For Entry Level/Freshers- Never Hesitate To Apply,15-12-2020,37509,1236
Rajesh Successful Transition Story From Automation Testing To Data Science-Niki.ai Internal Switch,12-12-2020,9501,211
Ishant Successful Transition Story From Data Analyst To Data Scientist In E&Y And Ericsson,10-12-2020,5890,183
What Is API? Application Programming Interface And Why It Is Important-Data Science,08-12-2020,14004,536
"Overfitting, Underfitting And Data Leakage Explanation With Simple Example",07-12-2020,11464,547
Ritaksh Successful Transition Story From Data Analyst To Data Scientist In Xceedance Consulting,06-12-2020,5268,117
"Transition Story Of Aditya 2020 Passed Student Working As A FreeLancer In Python,Machine Learning",05-12-2020,11019,467
Why Competitive Programming IS Important For Product Based Companies?,04-12-2020,8471,381
Naman Successful Career Transition To Data Analyst in Metlife 2019 Passed Out E&C Branch-Ft: Ineuron,04-12-2020,6026,204
Sourabh Successful Career Transition From Mainframe To Data Science in Xoriant Solutions-Ft: Ineuron,03-12-2020,14770,303
Successful Career Transition Of Prerna From BSc IT To Data Scientist In L&T Finance- Ft Ineuron,02-12-2020,22448,673
Live Virtual Mock Interview- Successful Transition From Diploma Engineer To Data Science Intern,01-12-2020,18993,496
6 Healthcare End To End Machine Learning Projects- Credits Devansh and Bedanta,30-11-2020,19276,645
How To Interpret The ML  Model? Is Your Model Black Box? Lime Library,30-11-2020,8664,337
Live Virtual Mock Interview Of Statistician IIT Kanpur For Data Science,27-11-2020,179988,3432
Live Q&A Tips For Interview Preparation Of Data Science,26-11-2020,10178,587
How To Deploy FastAPI Machine Learning Models In Heroku,26-11-2020,5906,133
Live Virtual Mock Interview For Data Science By Krish And Sudhanshu,24-11-2020,42507,1168
How To Train Machine Learning Model Using  CPU Multi Cores,24-11-2020,4938,180
Time Series Forecasting Using Facebook FbProphet,23-11-2020,26483,617
Custom Ensemble Machine Learning Algorithms,22-11-2020,5610,230
What is Web Hosting? Important For Everyone,21-11-2020,2794,128
Handling Imbalanced Dataset Using Cost Sensitive Neural Networks- Credit Card Fraud Detection,21-11-2020,7249,267
Ineuron's Affordable BI And ML DL Course With Remote Internship From 21st  November,20-11-2020,8896,257
How To Deploy Machine Learning Models Using FastAPI-Deployment Of ML Models As API’s,19-11-2020,24641,549
Introduction To FastAPI- How To Create API's Using FastAPI- Data Science,18-11-2020,26836,603
Designing Data Science Projects Architecture- AI Car Solution-Important For Interviews🔥🔥🔥🔥,17-11-2020,6599,251
Tutorial 1-Building My Wedding Invitation Website Using Hostinger,16-11-2020,8697,226
Google AI Announces Objectron Dataset- Why it is important for Object Detection?,16-11-2020,6773,266
How To Run Flask In Google Colab,15-11-2020,14963,455
Ineuron's Detailed Course Content Discussion Of ML And DL- Affordable AI Education,15-11-2020,17951,590
Live Q&A Happy Diwali Ask Anything Related Data Science,13-11-2020,6284,263
Deciding Career Paths For College Students And Freshers- Sharing My Experience,13-11-2020,3108,177
Do College Students And Freshers Requires Data Structures & Algorithms And Competitive Prog For DS?,09-11-2020,14416,647
Late Night Talks-Live Q&A-Ask Anything Related Data Science,08-11-2020,8839,433
Saturday Live Q&A Ask Anything Related Data Science,07-11-2020,5744,368
Important Interview Questions On Convolution Neural Network- Deep Learning,07-11-2020,14931,351
Important Steps I Have Followed To Improve My Data Science Skills- Sharing My Experience,06-11-2020,11083,663
"Why There Are So Many Start Ups In AI, ML And DL? Important For Everyone",05-11-2020,13070,605
Important Tips For College Students And Freshers- Sharing My Experience,04-11-2020,8697,569
"Deep Learning-All Optimizers In One Video-SGD with Momentum,Adagrad,Adadelta,RMSprop,Adam Optimizers",03-11-2020,54625,1534
"Deep Learning-Activation Functions-Elu, PRelu,Softmax,Swish And Softplus",02-11-2020,46850,1060
Difficulties I Faced As A Data Scientist-Sharing My Experience From Start,01-11-2020,11810,582
Saturday Live Q&A Ask Anything  Regarding Data Science,31-10-2020,4109,204
Tutorial 4- Julia For Data Science-String In Julia Along With Indepth Functions,31-10-2020,2150,76
Types Of Data Scientist In Analytics Industry,30-10-2020,4724,219
Updated Best YouTube Channels To Learn Data Science For Free,28-10-2020,18605,1140
Tutorial 2- Implementing Basic Reinforcement Learning Using Python- Data Science,27-10-2020,12569,332
My Entrepreneur Journey- From Software Engineer To Data Scientist To Entrepreneur- Future Plans,26-10-2020,15259,914
"Tutorial 3- Julia Basics-Strings And Numerical Operations, Commenting",25-10-2020,4582,171
Tutorial 2- Installing Julia And Running In Jupyter Notebook,24-10-2020,8126,276
Tutorial 1- Introduction To Julia Programming  Language For Machine Learning,24-10-2020,19819,538
"TensorDash- How To Monitor Your Deep Learning Model Metrics, Loss, Accuracy Using Mobile App",23-10-2020,5296,223
"Google Datasets Search Engine- Search All Datasets From One Place For Data Science,Machine Learning",22-10-2020,7892,335
"ML Interview Preparation- Important Interview Questions On Xgboost, Adaboost And Gradient Boost",21-10-2020,16662,392
Top 5 Programming Languages For Data Science In 2020,20-10-2020,20025,275
Xgboost Regression In-Depth Intuition Explained- Machine Learning Algorithms 🔥🔥🔥🔥,19-10-2020,32808,783
Keras Tuner Hyperparameter Tuning-How To Select Hidden Layers And Number of Hidden Neurons In ANN,18-10-2020,40388,1005
Interview Prep Day 6-How To Learn Machine Learning Algorithms For Interviews-Random Forest Algo🔥🔥🔥🔥,18-10-2020,13077,342
How to Prepare For Deep Learning Interviews- Important Interview Questions in ANN-Part 1🔥🔥🔥🔥,17-10-2020,27430,439
Live - Understanding About GPU's- CPU VS GPU- Which GPU We Should Buy?,16-10-2020,3850,206
Why Automation Will Not Kill Data Science Jobs?,14-10-2020,9312,409
Future Of Python-Will It be Replaced?,13-10-2020,18003,849
Xgboost Classification Indepth Maths Intuition- Machine Learning Algorithms🔥🔥🔥🔥,12-10-2020,71662,1423
Hottest And Best Domains Where Data Scientist And Data Analyst Are Paid More Salaries 🔥🔥🔥🔥,10-10-2020,21984,747
Tutorial 1-What Is Reinforcement Machine Learning? 🔥🔥🔥🔥,09-10-2020,23994,581
Live Q&A For Aspiring  Data Scientist-Ask Any Question Regarding Data Science,08-10-2020,6484,326
Interview Prep Day 5-How To Learn Machine Learning Algorithms For Interviews- Logistic Regression🔥🔥🔥,06-10-2020,14619,310
Complete Roadmap To Follow To  Prepare Machine Learning With All Videos And Materials,05-10-2020,221163,3601
Path of Non Technical Person Towards Data Analytics Industry-Data Analyst And Data Scientist,04-10-2020,22621,1068
Tutorial 1-Machine Learning Model Retraining Approach-Incremental And Continuous Model Training 🔥🔥🔥🔥,03-10-2020,18610,569
Live- Conversation With Amit Bose-Transition From Commerce Background To Data Analyst,02-10-2020,10734,557
Tutorial 2- Feature Selection-How To Drop Features Using Pearson Correlation,02-10-2020,49543,1384
Complete Road Map To Prepare For Deep Learning🔥🔥🔥🔥,01-10-2020,180304,2353
D-Tale The Best Library To Perform Exploratory Data Analysis Using Single Line Of Code🔥🔥🔥🔥,30-09-2020,27203,1154
Tutorial 1- Feature Selection-How To Drop Constant Features Using Variance Threshold,30-09-2020,47422,1067
Pandas Visual Analysis- Perform Exploratory Data Analysis In A Single Line Of Code🔥🔥🔥🔥,29-09-2020,17581,768
Data Science Myths Vs Reality Explained- Sharing My Experience- Must Watch For Everyone🔥🔥🔥🔥,27-09-2020,17858,988
Interview Prep Day 4-How To Learn Machine Learning Algorithms For Interviews- Decision Trees🔥🔥,27-09-2020,19368,407
How To Convert A Kaggle Project To A End To End Data Science With Deployment For Freshers 🔥🔥🔥🔥,26-09-2020,25859,1154
Complete Road Map To Prepare NLP-Follow This Video-You Will Able to Crack Any DS Interviews🔥🔥,25-09-2020,497752,3292
Data Science Live Q&A- Ask Any Queries Related To Data Science Interviews🔥🔥,24-09-2020,5313,310
Exploring RapidMiner-Amazing Data Science Platform To Solve Machine Learning And DL Usecases,23-09-2020,7096,270
Interview Prep Day3-How To Prepare Support Vector Machines Important Questions In Interviews🔥🔥,23-09-2020,16890,451
Interview Prep Day 2- Linear Regression Interview Question-The Most Important Algorithm In ML & DS🔥🔥,22-09-2020,46339,1444
Final Year Student To Deep Learning Engineer Internship- Transition Story- Must For Freshers,21-09-2020,10529,409
Interview Prep Day 1-How To Learn Machine Learning Algorithms For Interviews- Naive Bayes Classifier,21-09-2020,234076,2131
Top 5 Data Science Projects/Ideas For Your Resume For Freshers From My Playlist- Must Watch🔥🔥🔥,20-09-2020,77764,3163
Focus On Story Telling-How To Ace Data Science Interviews?,19-09-2020,8699,540
Tutorial 7- Database As A Service- Setting Up MongoDB ATLAS In Cloud With Python,19-09-2020,5683,157
Complete Road Map To Be Expert In Python- Follow My Way,18-09-2020,1115038,12435
Data Science In Medical-Live Tracking Of CO--VID Cases In India using Python,18-09-2020,9173,370
How to Learn Statistics for Data Science As A Self Starter- Follow My Way,17-09-2020,163420,3588
How To Set Profile And Apply Data Science Jobs In LinkedIn- Must For Freshers,16-09-2020,42722,1866
"Tutorial 6- MongoDb With Python- Aggregate Functions($group,$sum,$avg,$project)- Data Science",15-09-2020,8177,196
Step By Step Path Of Transition From Data Analyst To Data Scientist,14-09-2020,7450,377
VGGNET Architecture In-depth Discussion Along With Code -Deep Learning Advanced CNN,12-09-2020,23982,614
Step By Step Path To Become A Data Analyst in 2020,12-09-2020,55332,2246
Tutorial 3- MySQL With Python And Data Science Performing CRUD Operations On Table,11-09-2020,12464,291
Live- Virtual Interview For Data Scientist By Krish And Sudhanshu,11-09-2020,15919,554
Alexnet Architecture In-depth-Discussion Along With Code-Deep Learning Advanced CNN,11-09-2020,16680,411
Tutorial 2- MySQL With Python And Data Science- Installing MySQL DB Connector And Creating Databases,10-09-2020,14830,366
Live- How To Create Deep Learning Model Using Tensorflow JS,09-09-2020,5785,173
Tutorial 1- MySQL With Python And Data Science- MySQL Installation Steps,09-09-2020,37156,840
Why Domain Knowledge Is Important In Data Science?,07-09-2020,9780,531
How To Train Deep Learning Models In Google Colab- Must For Everyone,06-09-2020,123049,2627
Live - Data Science Q&A And Upcoming Videos Plan,05-09-2020,3111,229
Machine Learning And Deep Learning Model Deployment Architecture Using TF Lite In Mobile,05-09-2020,8198,268
Special Thanks To Youtube - Happy Teacher's Day Youtube,05-09-2020,2841,302
Machine Learning And Deep Learning Model Deployment Architecture Using API's,05-09-2020,22983,702
Live- Virtual Interview Session For Data Science- Session 8,04-09-2020,11075,416
Live -Transformers Indepth Architecture Understanding- Attention Is All You Need,03-09-2020,43028,1223
Data Science Is Just Not About Model Building,03-09-2020,10609,557
Live -End To End Docker Implementation Of Data  Science Projects,02-09-2020,7152,285
Debugging Server Side Application Using Python In Pycharm,01-09-2020,5520,187
Live Virtual Interview Of Experienced For Data Scientist,01-09-2020,33467,925
"Tutorial 7-Build,Train,Deploy Machine Learning Model AWS SageMaker- Predicting Test Data Endpoints",31-08-2020,14709,292
Live- Conversation With Data Structure And Algorithms Mentor For Free Community Session,30-08-2020,9184,375
